isin,nav,nav_date
INF200K01ST8,23.1772,05-Aug-2025
INF200K01SV4,49.805,05-Aug-2025
-,15.2553,05-Aug-2025
INF200K01685,46.0918,05-Aug-2025
INF200K01693,20.8374,05-Aug-2025
INF789F1ARG8,0.0,05-Aug-2025
INF789F1ARK0,0.0,05-Aug-2025
INF789F1ARF0,0.0,05-Aug-2025
INF789F1ARI4,0.0,05-Aug-2025
INF789F1ARM6,0.0,05-Aug-2025
INF789F1ARD5,0.0,05-Aug-2025
INF789F1ARR5,0.0,05-Aug-2025
INF789F1ARV7,0.0,05-Aug-2025
INF789F1ARQ7,0.0,05-Aug-2025
INF789F1ART1,0.0,05-Aug-2025
INF789F1ARX3,0.0,05-Aug-2025
INF789F1ARO2,0.0,05-Aug-2025
INF789F01QZ1,17.2325,05-Aug-2025
INF789FB1U28,12.3573,05-Aug-2025
INF789FB1U44,12.362,05-Aug-2025
INF789F01YB6,19.4775,05-Aug-2025
INF789FA1W02,12.405,05-Aug-2025
INF789FB1U02,11.2967,05-Aug-2025
INF789F01YC4,13.7443,05-Aug-2025
INF789FA1V60,11.4989,05-Aug-2025
INF789FA1V86,11.1867,05-Aug-2025
INF789FA1V45,11.5605,05-Aug-2025
INF789FB1T88,10.3484,05-Aug-2025
INF789F01RA2,12.2406,05-Aug-2025
INF579M01183,22.8646,05-Aug-2025
INF579M01266,24.1281,05-Aug-2025
INF579M01282,14.0212,05-Aug-2025
INF579M01290,22.263,05-Aug-2025
INF579M01191,22.8645,05-Aug-2025
INF579M01225,22.0643,05-Aug-2025
INF579M01209,12.9947,05-Aug-2025
INF579M01217,22.0644,05-Aug-2025
INF209K01N82,50.2085,05-Aug-2025
INF209K01793,46.7784,05-Aug-2025
INF209KA1TX3,13.4034,05-Aug-2025
INF209K01R62,11.2364,05-Aug-2025
INF209K01R88,11.1291,05-Aug-2025
INF209KA1TV7,12.3754,05-Aug-2025
INF209K01801,10.7888,05-Aug-2025
INF209K01819,10.8691,05-Aug-2025
INF209K01JW2,32.3483,05-Aug-2025
INF846K01DI3,32.7954,05-Aug-2025
INF846K01DJ1,12.8458,05-Aug-2025
INF846K01DL7,11.285,05-Aug-2025
INF846K01917,29.8545,05-Aug-2025
INF846K01941,11.7483,05-Aug-2025
INF846K01925,11.3336,05-Aug-2025
INF194K01QI0,11.5072,05-Aug-2025
INF194K01QL4,11.2255,05-Aug-2025
INF194K01QG4,33.9473,05-Aug-2025
INF194K018R9,10.8389,05-Aug-2025
INF194K01QO8,12.9802,05-Aug-2025
INF194KA1TM3,13.4899,05-Aug-2025
INF194K01O13,11.7477,05-Aug-2025
INF194K01N63,37.7619,05-Aug-2025
INF194K011P8,11.0683,05-Aug-2025
INF194K01O47,16.2124,05-Aug-2025
INF194KA1TP6,13.2408,05-Aug-2025
INF194K01N89,13.4795,05-Aug-2025
-,10.0286,05-Aug-2025
INF251K01GW0,51.1566,05-Aug-2025
INF251K01GZ3,10.8298,05-Aug-2025
