isin,nav,nav_date
INF740K01QH2,1061.5464,11-Dec-2025
INF740K01GK7,3360.7926,11-Dec-2025
INF740K01GO9,1243.5714,11-Dec-2025
-,1046.7091,11-Dec-2025
INF740K01GM3,1048.2628,11-Dec-2025
INF740K01GQ4,1034.5771,11-Dec-2025
INF090I01WD3,0.0,11-Dec-2025
INF090I01WB7,0.0,11-Dec-2025
INF090I01WA9,0.0,11-Dec-2025
INF090I01WC5,0.0,11-Dec-2025
INF666M01EK5,1530.8706,11-Dec-2025
INF666M01ES8,1461.663,11-Dec-2025
-,1008.6984,11-Dec-2025
INF666M01EO7,1010.8494,11-Dec-2025
INF666M01EQ2,1002.4258,11-Dec-2025
INF666M01EM1,1007.7353,11-Dec-2025
-,1006.7303,11-Dec-2025
INF666M01EW0,1004.1656,11-Dec-2025
INF666M01EY6,998.4832,11-Dec-2025
INF666M01EU4,1003.9415,11-Dec-2025
INF179K01848,89.6251,11-Dec-2025
INF179K01WB4,99.2446,11-Dec-2025
INF179K01WC2,13.6177,11-Dec-2025
INF179K01855,11.6185,11-Dec-2025
INF179KA1Q95,20.8966,11-Dec-2025
INF179KA1R11,19.201,11-Dec-2025
INF179K01WE8,14.016,11-Dec-2025
INF179K01871,12.5365,11-Dec-2025
INF179K01WG3,15.2744,11-Dec-2025
INF179K01921,13.6934,11-Dec-2025
INF917K01VN4,11.3413,11-Dec-2025
INF917K01HA0,32.3824,11-Dec-2025
INF917K01GZ9,12.6398,11-Dec-2025
INF917K01VP9,10.6554,11-Dec-2025
INF677K01916,29.8214,11-Dec-2025
INF677K01924,10.6067,11-Dec-2025
INF109K01GO7,11.0899,11-Dec-2025
INF109K012E4,11.0768,11-Dec-2025
INF109K016E5,40.8079,11-Dec-2025
INF109K014E0,26.4815,11-Dec-2025
INF109K017E3,12.0016,11-Dec-2025
INF109K019E9,10.5349,11-Dec-2025
INF109K01GN9,37.6614,11-Dec-2025
INF109K01GK5,23.4199,11-Dec-2025
INF109K01GE8,11.7035,11-Dec-2025
INF109K01FD2,10.9479,11-Dec-2025
INF00XX01BK7,13.1568,11-Dec-2025
INF00XX01BC4,13.1569,11-Dec-2025
INF00XX01BJ9,10.9369,11-Dec-2025
INF00XX01BH3,10.0789,11-Dec-2025
INF00XX01BI1,13.1835,11-Dec-2025
INF00XX01BB6,12.5562,11-Dec-2025
INF00XX01AT0,12.5555,11-Dec-2025
INF00XX01BA8,12.5584,11-Dec-2025
INF00XX01AY0,9.92,11-Dec-2025
INF00XX01AZ7,12.5582,11-Dec-2025
-,10.074,11-Dec-2025
INF192K01DB7,45.5186,11-Dec-2025
INF192K01IL5,45.8687,11-Dec-2025
-,10.5273,11-Dec-2025
INF192K01EX9,40.0725,27-Jan-2025
-,10.0174,11-Dec-2025
INF192K01700,42.3425,11-Dec-2025
INF192K01IN1,40.4031,27-Jan-2025
INF192K01684,42.4753,11-Dec-2025
INF192K01IJ9,42.6768,11-Dec-2025
-,10.5172,11-Dec-2025
INF192K01EZ4,42.4963,27-Jan-2025
INF192K01DD3,45.2753,11-Dec-2025
INF192K01IP6,42.9228,27-Jan-2025
INF174K01JX6,14.5207,11-Dec-2025
INF174K01JU2,41.3746,11-Dec-2025
INF174K01IY6,14.2421,11-Dec-2025
INF174K01FA2,37.803,11-Dec-2025
INF174V01580,15.7247,11-Dec-2025
INF174V01606,12.5816,11-Dec-2025
INF174V01622,11.3929,11-Dec-2025
INF174V01531,14.4846,11-Dec-2025
INF174V01556,11.4253,11-Dec-2025
INF174V01572,10.3161,11-Dec-2025
INF769K01DR8,18.1767,11-Dec-2025
INF769K01DS6,18.1583,11-Dec-2025
INF769K01DP2,16.5649,11-Dec-2025
INF769K01DO5,16.5645,11-Dec-2025
INF204K01A33,29.5921,11-Dec-2025
INF204K01A58,10.581,11-Dec-2025
INF204K01A25,40.9593,11-Dec-2025
INF204K01FJ8,25.6351,11-Dec-2025
INF204K01XB8,10.4645,11-Dec-2025
INF204K01FI0,38.1123,11-Dec-2025
INF663L01AD7,3024.4867,11-Dec-2025
INF663L01AI6,1202.4442,11-Dec-2025
INF663L01526,1083.3702,11-Dec-2025
INF663L01484,2647.906,11-Dec-2025
INF082J01176,22.0707,11-Dec-2025
INF082J01184,10.3068,11-Dec-2025
INF082J01218,21.6735,11-Dec-2025
INF082J01226,10.3652,11-Dec-2025
INF200K01RD4,39.6098,11-Dec-2025
INF200K01RB8,22.1245,11-Dec-2025
